CREATE CONSTRAINT IF NOT EXISTS FOR (n:City) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Country) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:DocumentCheck) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:DocumentInstance) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Encounter) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Questioning) REQUIRE n.key IS UNIQUE;
CREATE CONSTRAINT IF NOT EXISTS FOR (n:Traveller) REQUIRE n.key IS UNIQUE;

MERGE (t:Traveller {key:'traveller_11341168_author'}) SET t.entityName='author';
MERGE (e:Encounter {key:'encounter_11341168_author_1'}) SET e.sourcePostID=11341168, e.sourcePostURL='https://forum.awd.ru/viewtopic.php?p=11341168#p11341168', e.sourcePostAuthor='kadr', e.sourcePostDateTime=localdatetime('2023-01-28T02:25:00'), e.controlStage='at_gate', e.transportMode='air';
MERGE (c_city_frankfurt:City {key:'city_frankfurt'}) SET c_city_frankfurt.entityName='Frankfurt';
MERGE (co_country_germany:Country {key:'country_germany'}) SET co_country_germany.entityName='Germany';
MERGE (dc_cash:DocumentCheck {key:'doccheck_encounter_11341168_author_1_cash'}) SET dc_cash.presented=true;
MERGE (di_cash:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_cash'}) SET di_cash.documentType='cash';
MERGE (dc_foreign_passport:DocumentCheck {key:'doccheck_encounter_11341168_author_1_foreign_passport'}) SET dc_foreign_passport.presented=true;
MERGE (di_foreign_passport:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_foreign_passport'}) SET di_foreign_passport.documentType='foreign_passport';
MERGE (dc_hotel_booking:DocumentCheck {key:'doccheck_encounter_11341168_author_1_hotel_booking'}) SET dc_hotel_booking.presented=true;
MERGE (di_hotel_booking:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_hotel_booking'}) SET di_hotel_booking.documentType='hotel_booking';
MERGE (dc_invitation_letter:DocumentCheck {key:'doccheck_encounter_11341168_author_1_invitation_letter'}) SET dc_invitation_letter.presented=true;
MERGE (di_invitation_letter:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_invitation_letter'}) SET di_invitation_letter.documentType='invitation_letter';
MERGE (dc_return_ticket:DocumentCheck {key:'doccheck_encounter_11341168_author_1_return_ticket'}) SET dc_return_ticket.presented=true;
MERGE (di_return_ticket:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_return_ticket'}) SET di_return_ticket.documentType='return_ticket';
MERGE (dc_travel_insurance:DocumentCheck {key:'doccheck_encounter_11341168_author_1_travel_insurance'}) SET dc_travel_insurance.presented=true;
MERGE (di_travel_insurance:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_travel_insurance'}) SET di_travel_insurance.documentType='travel_insurance';
MERGE (dc_visa:DocumentCheck {key:'doccheck_encounter_11341168_author_1_visa'}) SET dc_visa.presented=true;
MERGE (di_visa:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_visa'}) SET di_visa.documentType='visa';
MERGE (q_employment:Questioning {key:'questioning_encounter_11341168_author_1_employment'}) SET q_employment.wasAsked=true, q_employment.topicKey='employment';
MERGE (q_exit_date_schengen:Questioning {key:'questioning_encounter_11341168_author_1_exit_date_schengen'}) SET q_exit_date_schengen.wasAsked=true, q_exit_date_schengen.topicKey='exit_date_schengen';
MERGE (q_visit_purpose:Questioning {key:'questioning_encounter_11341168_author_1_visit_purpose'}) SET q_visit_purpose.wasAsked=true, q_visit_purpose.topicKey='visit_purpose';

MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (t:Traveller {key:'traveller_11341168_author'}) MERGE (e)-[:hasTraveler]->(t);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (c:City {key:'city_frankfurt'}) MERGE (e)-[:atCity]->(c);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (co:Country {key:'country_germany'}) MERGE (e)-[:atCountry]->(co);
MATCH (c:City {key:'city_frankfurt'}), (co:Country {key:'country_germany'}) MERGE (c)-[:locatedInCountry]->(co);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_cash'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_cash'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_cash'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_foreign_passport'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_foreign_passport'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_foreign_passport'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_hotel_booking'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_hotel_booking'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_hotel_booking'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_invitation_letter'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_invitation_letter'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_invitation_letter'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_return_ticket'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_return_ticket'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_return_ticket'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_travel_insurance'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_travel_insurance'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_travel_insurance'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_visa'}) MERGE (e)-[:hasDocumentCheck]->(dc);
MATCH (dc:DocumentCheck {key:'doccheck_encounter_11341168_author_1_visa'}), (di:DocumentInstance {key:'documentinstance_encounter_11341168_author_1_visa'}) MERGE (dc)-[:requestedDocument]->(di);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (q:Questioning {key:'questioning_encounter_11341168_author_1_employment'}) MERGE (e)-[:hasQuestioning]->(q);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (q:Questioning {key:'questioning_encounter_11341168_author_1_exit_date_schengen'}) MERGE (e)-[:hasQuestioning]->(q);
MATCH (e:Encounter {key:'encounter_11341168_author_1'}), (q:Questioning {key:'questioning_encounter_11341168_author_1_visit_purpose'}) MERGE (e)-[:hasQuestioning]->(q);
