question,precision,recall,f1
1,0.948837,0.948837,0.948837
2,1.000000,0.981818,0.990826
3,1.000000,0.973214,0.986425
4,1.000000,1.000000,1.000000
5,1.000000,1.000000,1.000000
6,1.000000,0.986047,0.992974
7,1.000000,1.000000,1.000000
8,1.000000,1.000000,1.000000
9,1.000000,1.000000,1.000000
10,1.000000,1.000000,1.000000
11,1.000000,1.000000,1.000000
12,1.000000,1.000000,1.000000
13,1.000000,1.000000,1.000000
14,1.000000,1.000000,1.000000
15,1.000000,1.000000,1.000000
16,1.000000,1.000000,1.000000
17,1.000000,1.000000,1.000000
18,1.000000,1.000000,1.000000
19,1.000000,1.000000,1.000000
20,1.000000,1.000000,1.000000
21,0.968535,0.938095,0.953072
22,1.000000,0.995236,0.997612
23,1.000000,1.000000,1.000000
24,1.000000,1.000000,1.000000
25,0.991543,0.980659,0.986071
26,0.630285,0.907932,0.744051
27,0.980851,0.995143,0.987945
28,0.911263,1.000000,0.953571
29,0.856115,1.000000,0.922481
30,0.991543,0.980659,0.986071
31,0.630285,0.907932,0.744051
32,0.980851,0.995143,0.987945
33,0.856115,1.000000,0.922481
34,0.911263,1.000000,0.953571
35,0.574524,0.981047,0.724667
36,0.571288,0.937097,0.709835
37,0.562766,0.997172,0.719483
38,0.604096,1.000000,0.753191
39,0.625899,1.000000,0.769912
40,0.609937,0.982964,0.752772
41,0.585054,0.941456,0.721649
42,0.620213,0.997434,0.764841
43,0.621160,1.000000,0.766316
44,0.640288,1.000000,0.780702
45,0.222780,0.987119,0.363519
46,0.585054,0.941456,0.721649
47,0.620213,0.997434,0.764841
48,0.621160,1.000000,0.766316
49,0.640288,1.000000,0.780702
50,0.574524,0.981047,0.724667
51,0.571288,0.937097,0.709835
52,0.562766,0.997172,0.719483
53,0.604096,1.000000,0.753191
54,0.625899,1.000000,0.769912
55,0.718345,0.525769,0.607152
56,0.694836,0.493333,0.576998
57,0.662651,0.505980,0.573813
58,0.828571,0.682353,0.748387
59,0.881356,0.597701,0.712329
60,0.847418,0.947507,0.894672
61,1.000000,0.990453,0.995204
62,1.000000,1.000000,1.000000
63,1.000000,1.000000,1.000000
64,1.000000,0.904834,0.950040
65,1.000000,0.983333,0.991597
66,0.990196,0.971154,0.980583
67,0.903614,0.909091,0.906344
68,1.000000,1.000000,1.000000
69,0.901235,0.926984,0.913928
70,1.000000,0.989899,0.994924
71,1.000000,1.000000,1.000000
72,0.901235,0.929936,0.915361
73,1.000000,1.000000,1.000000
74,1.000000,1.000000,1.000000
75,1.000000,1.000000,1.000000
76,0.904321,0.927215,0.915625
77,1.000000,1.000000,1.000000
78,1.000000,1.000000,1.000000
79,1.000000,1.000000,1.000000
80,0.998880,0.620882,0.765775
81,0.980235,0.976615,0.978422
82,0.278835,0.392332,0.325987
83,1.000000,0.986217,0.993061
84,0.915344,0.925134,0.920213
85,1.000000,1.000000,1.000000
86,1.000000,1.000000,1.000000
avg,0.857068,0.947162,0.886696
